2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
  msg: |-
    The conditional check 'splunk_use_systemd' failed. The error was: error while evaluating conditional (splunk_use_systemd): 'splunk_use_systemd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 21, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Set boot-start method to systemd
      ^ here
2025-04-09 04:15:43,645 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:43,650 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_systemd' failed. The error was: error while evaluating conditional (splunk_use_systemd): 'splunk_use_systemd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 21, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Set boot-start method to systemd
      ^ here
2025-04-09 04:15:43,650 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:43,688 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_systemd' failed. The error was: error while evaluating conditional (splunk_use_systemd): 'splunk_use_systemd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 21, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Set boot-start method to systemd
      ^ here
2025-04-09 04:15:43,688 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:43,709 p=56807 u=root n=ansible | TASK [splunk : Set boot-start method to initd] **************************************************************************************************************************************
2025-04-09 04:15:43,819 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 28, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Set boot-start method to initd
      ^ here
2025-04-09 04:15:43,820 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:43,855 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 28, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Set boot-start method to initd
      ^ here
2025-04-09 04:15:43,855 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:43,860 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 28, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Set boot-start method to initd
      ^ here
2025-04-09 04:15:43,861 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:43,895 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 28, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Set boot-start method to initd
      ^ here
2025-04-09 04:15:43,895 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:43,916 p=56807 u=root n=ansible | TASK [splunk : Configure vars for full package] *************************************************************************************************************************************
2025-04-09 04:15:44,016 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'systemd_unit_full' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 35, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    - block:
        - name: Configure vars for full package
          ^ here
2025-04-09 04:15:44,017 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,021 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'systemd_unit_full' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 35, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    - block:
        - name: Configure vars for full package
          ^ here
2025-04-09 04:15:44,021 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,035 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'systemd_unit_full' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 35, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    - block:
        - name: Configure vars for full package
          ^ here
2025-04-09 04:15:44,035 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,066 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'systemd_unit_full' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 35, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    - block:
        - name: Configure vars for full package
          ^ here
2025-04-09 04:15:44,066 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,087 p=56807 u=root n=ansible | TASK [Configure var for splunk systemd service handler] *****************************************************************************************************************************
2025-04-09 04:15:44,156 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "systemd"' failed. The error was: error while evaluating conditional (desired_start_method == "systemd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 45, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Configure var for splunk systemd service handler
          ^ here
2025-04-09 04:15:44,157 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,191 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "systemd"' failed. The error was: error while evaluating conditional (desired_start_method == "systemd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 45, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Configure var for splunk systemd service handler
          ^ here
2025-04-09 04:15:44,192 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,203 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "systemd"' failed. The error was: error while evaluating conditional (desired_start_method == "systemd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 45, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Configure var for splunk systemd service handler
          ^ here
2025-04-09 04:15:44,203 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,238 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "systemd"' failed. The error was: error while evaluating conditional (desired_start_method == "systemd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 45, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Configure var for splunk systemd service handler
          ^ here
2025-04-09 04:15:44,239 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,261 p=56807 u=root n=ansible | TASK [splunk : Configure vars for uf package] ***************************************************************************************************************************************
2025-04-09 04:15:44,327 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:44,359 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:44,369 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:44,402 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:44,423 p=56807 u=root n=ansible | TASK [splunk : Setting least priviledged mode] **************************************************************************************************************************************
2025-04-09 04:15:44,493 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:44,525 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:44,537 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:44,568 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:44,588 p=56807 u=root n=ansible | TASK [Configure var for splunkforwarder systemd service handler] ********************************************************************************************************************
2025-04-09 04:15:44,654 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:44,689 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:44,698 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:44,731 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:44,752 p=56807 u=root n=ansible | TASK [Configure var for splunk init.d service handler] ******************************************************************************************************************************
2025-04-09 04:15:44,822 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "initd"' failed. The error was: error while evaluating conditional (desired_start_method == "initd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 79, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Configure var for splunk init.d service handler
      ^ here
2025-04-09 04:15:44,823 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,857 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "initd"' failed. The error was: error while evaluating conditional (desired_start_method == "initd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 79, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Configure var for splunk init.d service handler
      ^ here
2025-04-09 04:15:44,857 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,865 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "initd"' failed. The error was: error while evaluating conditional (desired_start_method == "initd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 79, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Configure var for splunk init.d service handler
      ^ here
2025-04-09 04:15:44,865 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,902 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'desired_start_method == "initd"' failed. The error was: error while evaluating conditional (desired_start_method == "initd"): 'desired_start_method' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/main.yml': line 79, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Configure var for splunk init.d service handler
      ^ here
2025-04-09 04:15:44,902 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:44,924 p=56807 u=root n=ansible | TASK [splunk : Check if Splunk is installed] ****************************************************************************************************************************************
2025-04-09 04:15:45,396 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:45,405 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:45,406 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:45,409 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:45,431 p=56807 u=root n=ansible | TASK [splunk : Check if active boot-start configuration is systemd] *****************************************************************************************************************
2025-04-09 04:15:45,499 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:45,533 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:45,542 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:45,575 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:45,597 p=56807 u=root n=ansible | TASK [Set current_start_method var to systemd if systemd is being used for splunk] **************************************************************************************************
2025-04-09 04:15:45,664 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:45,696 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:45,705 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:45,740 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:45,763 p=56807 u=root n=ansible | TASK [splunk : Check if active boot-start method is init.d] *************************************************************************************************************************
2025-04-09 04:15:45,861 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:45,863 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:45,871 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:45,903 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:45,923 p=56807 u=root n=ansible | TASK [Set current_start_method to initd if initd is being used for splunk] **********************************************************************************************************
2025-04-09 04:15:45,991 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:46,024 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:46,032 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:46,066 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:46,087 p=56807 u=root n=ansible | TASK [splunk : set current_start_method to disabled if boot-start is disabled] ******************************************************************************************************
2025-04-09 04:15:46,152 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:46,188 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:46,195 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:46,230 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:46,251 p=56807 u=root n=ansible | TASK [splunk : Set boot-start misconfigured var] ************************************************************************************************************************************
2025-04-09 04:15:46,319 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:46,351 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:46,368 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:46,440 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:46,490 p=56807 u=root n=ansible | TASK [splunk : Fail the play if the currently configured boot-start method does match the expected state or boot-start is not enabled] **********************************************
2025-04-09 04:15:46,560 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:46,593 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:46,602 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:46,635 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:46,656 p=56807 u=root n=ansible | TASK [splunk : Include the specified task file] *************************************************************************************************************************************
2025-04-09 04:15:46,931 p=56807 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:15:46,965 p=56807 u=root n=ansible | TASK [splunk : ansible.builtin.include_tasks] ***************************************************************************************************************************************
2025-04-09 04:15:47,185 p=56807 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:15:47,221 p=56807 u=root n=ansible | TASK [Stop splunk] ******************************************************************************************************************************************************************
2025-04-09 04:15:47,261 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:15:47,262 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,294 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:15:47,295 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,327 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:15:47,328 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,341 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml': line 2, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
    ---
    - name: Stop splunk
      ^ here
2025-04-09 04:15:47,341 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,365 p=56807 u=root n=ansible | TASK [splunk : Disable boot-start] **************************************************************************************************************************************************
2025-04-09 04:15:47,816 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:15:47,817 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,827 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:15:47,828 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,829 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:15:47,829 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,831 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => changed=false 
  cmd: auto_determined/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''auto_determined/bin/splunk'': b''auto_determined/bin/splunk'''
  rc: 2
2025-04-09 04:15:47,831 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:47,852 p=56807 u=root n=ansible | TASK [Remove splunk folder] *********************************************************************************************************************************************************
2025-04-09 04:15:48,321 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:48,332 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:48,334 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:48,335 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:48,357 p=56807 u=root n=ansible | TASK [Remove splunk service drop-in directory] **************************************************************************************************************************************
2025-04-09 04:15:48,397 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:15:48,398 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:48,432 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:15:48,432 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:48,465 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:15:48,466 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:48,479 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The task includes an option with an undefined variable. The error was: 'splunk_service' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 14, column 3, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
    - name: Remove splunk service drop-in directory
      ^ here
2025-04-09 04:15:48,479 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:48,500 p=56807 u=root n=ansible | TASK [Remove nix splunk user] *******************************************************************************************************************************************************
2025-04-09 04:15:49,037 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:49,052 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:49,056 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:49,057 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:49,079 p=56807 u=root n=ansible | TASK [Remove nix splunk group] ******************************************************************************************************************************************************
2025-04-09 04:15:49,557 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:49,565 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:49,569 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:49,570 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:49,590 p=56807 u=root n=ansible | TASK [splunk : Remove disable-thp service to systemd (CentOS/RHEL 7+)] **************************************************************************************************************
2025-04-09 04:15:49,919 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:49,933 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:49,977 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:50,012 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:50,034 p=56807 u=root n=ansible | TASK [splunk : Remove ulimits] ******************************************************************************************************************************************************
2025-04-09 04:15:50,073 p=56807 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:15:50,074 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:50,107 p=56807 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:15:50,108 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:50,143 p=56807 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:15:50,143 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:50,159 p=56807 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => 
  msg: |-
    The conditional check 'splunk_use_initd' failed. The error was: error while evaluating conditional (splunk_use_initd): 'splunk_use_initd' is undefined
  
    The error appears to be in '/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml': line 50, column 7, but may
    be elsewhere in the file depending on the exact syntax problem.
  
    The offending line appears to be:
  
  
        - name: Remove ulimits
          ^ here
2025-04-09 04:15:50,159 p=56807 u=root n=ansible | ...ignoring
2025-04-09 04:15:50,181 p=56807 u=root n=ansible | TASK [Remove splunk firewalld service] **********************************************************************************************************************************************
2025-04-09 04:15:50,218 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:50,249 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:50,281 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:50,299 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:50,321 p=56807 u=root n=ansible | TASK [splunk : Remove firewalld service] ********************************************************************************************************************************************
2025-04-09 04:15:50,359 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:50,391 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:50,423 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
